Символ(и),Кількість,Частота
йп,8,2.373126713100846e-05
кд,4,1.186563356550423e-05
фл,20,5.932816782752115e-05
фю,2,5.932816782752115e-06
эн,13,3.856330908788875e-05
ьч,27,8.009302656715355e-05
тэ,1,2.9664083913760574e-06
жс,6,1.7798450348256345e-05
нм,2,5.932816782752115e-06
йщ,2,5.932816782752115e-06
чо,28,8.305943495852961e-05
зз,16,4.746253426201692e-05
жо,23,6.822739300164933e-05
дб,15,4.4496125870640864e-05
юш,9,2.669767552238452e-05
ш ,36,0.00010679070208953808
нш,3,8.899225174128173e-06
юи,5,1.4832041956880288e-05
йц,18,5.339535104476904e-05
рф,15,4.4496125870640864e-05
хш,7,2.0764858739632402e-05
мб,94,0.0002788423887893494
рл,30,8.899225174128173e-05
бж,9,2.669767552238452e-05
йф,4,1.186563356550423e-05
эй,4,1.186563356550423e-05
зч,20,5.932816782752115e-05
жж,4,1.186563356550423e-05
сг,13,3.856330908788875e-05
ьг,63,0.00018688372865669162
уо,14,4.1529717479264804e-05
щв,2,5.932816782752115e-06
э ,2,5.932816782752115e-06
мг,10,2.9664083913760576e-05
йв,3,8.899225174128173e-06
эс,16,4.746253426201692e-05
мт,13,3.856330908788875e-05
щн,15,4.4496125870640864e-05
йе,3,8.899225174128173e-06
кш,4,1.186563356550423e-05
юо,3,8.899225174128173e-06
ьо,25,7.416020978440143e-05
 й,5,1.4832041956880288e-05
ьр,1,2.9664083913760574e-06
жц,1,2.9664083913760574e-06
ьщ,5,1.4832041956880288e-05
фф,5,1.4832041956880288e-05
гп,2,5.932816782752115e-06
эм,16,4.746253426201692e-05
пш,4,1.186563356550423e-05
мч,13,3.856330908788875e-05
цс,2,5.932816782752115e-06
пв,4,1.186563356550423e-05
вб,7,2.0764858739632402e-05
жг,5,1.4832041956880288e-05
кг,4,1.186563356550423e-05
йм,27,8.009302656715355e-05
йи,8,2.373126713100846e-05
ьх,18,5.339535104476904e-05
зп,10,2.9664083913760576e-05
йб,11,3.263049230513663e-05
гв,6,1.7798450348256345e-05
пщ,2,5.932816782752115e-06
хх,1,2.9664083913760574e-06
шм,4,1.186563356550423e-05
шх,3,8.899225174128173e-06
нб,8,2.373126713100846e-05
мз,3,8.899225174128173e-06
бп,5,1.4832041956880288e-05
мв,42,0.0001245891524377944
эх,7,2.0764858739632402e-05
мц,8,2.373126713100846e-05
пч,4,1.186563356550423e-05
пф,2,5.932816782752115e-06
яо,6,1.7798450348256345e-05
бм,12,3.559690069651269e-05
дю,14,4.1529717479264804e-05
зт,4,1.186563356550423e-05
тх,8,2.373126713100846e-05
цг,1,2.9664083913760574e-06
жь,7,2.0764858739632402e-05
фс,7,2.0764858739632402e-05
бш,9,2.669767552238452e-05
чс,4,1.186563356550423e-05
эв,2,5.932816782752115e-06
лз,9,2.669767552238452e-05
бх,8,2.373126713100846e-05
яш,8,2.373126713100846e-05
фы,1,2.9664083913760574e-06
ьу,1,2.9664083913760574e-06
уэ,8,2.373126713100846e-05
ыщ,6,1.7798450348256345e-05
шв,8,2.373126713100846e-05
йг,6,1.7798450348256345e-05
бт,4,1.186563356550423e-05
цп,1,2.9664083913760574e-06
бб,4,1.186563356550423e-05
хп,2,5.932816782752115e-06
ьл,1,2.9664083913760574e-06
чп,2,5.932816782752115e-06
вщ,3,8.899225174128173e-06
ыа,1,2.9664083913760574e-06
ыж,11,3.263049230513663e-05
ыц,2,5.932816782752115e-06
юй,3,8.899225174128173e-06
тф,4,1.186563356550423e-05
фт,6,1.7798450348256345e-05
ыо,2,5.932816782752115e-06
хэ,2,5.932816782752115e-06
тш,1,2.9664083913760574e-06
фк,2,5.932816782752115e-06
цч,1,2.9664083913760574e-06
цм,2,5.932816782752115e-06
аэ,10,2.9664083913760576e-05
лш,2,5.932816782752115e-06
сж,1,2.9664083913760574e-06
ьа,5,1.4832041956880288e-05
бд,4,1.186563356550423e-05
кч,3,8.899225174128173e-06
гэ,1,2.9664083913760574e-06
лх,2,5.932816782752115e-06
кю,1,2.9664083913760574e-06
йа,1,2.9664083913760574e-06
эф,5,1.4832041956880288e-05
эд,2,5.932816782752115e-06
чэ,2,5.932816782752115e-06
хб,1,2.9664083913760574e-06
ыу,2,5.932816782752115e-06
йя,2,5.932816782752115e-06
чм,1,2.9664083913760574e-06
дэ,1,2.9664083913760574e-06
вэ,2,5.932816782752115e-06
пд,1,2.9664083913760574e-06
еэ,3,8.899225174128173e-06
фь,5,1.4832041956880288e-05
эр,17,5.042894265339298e-05
хм,50,0.00014832041956880287
ьэ,1,2.9664083913760574e-06
мщ,1,2.9664083913760574e-06
йж,1,2.9664083913760574e-06
кэ,1,2.9664083913760574e-06
гш,2,5.932816782752115e-06
шц,1,2.9664083913760574e-06
уу,10,2.9664083913760576e-05
юп,4,1.186563356550423e-05
эо,1,2.9664083913760574e-06
ээ,1,2.9664083913760574e-06
йх,1,2.9664083913760574e-06
цц,1,2.9664083913760574e-06
тж,1,2.9664083913760574e-06
юя,1,2.9664083913760574e-06
лщ,2,5.932816782752115e-06
бз,2,5.932816782752115e-06
хг,2,5.932816782752115e-06
бц,5,1.4832041956880288e-05
пх,1,2.9664083913760574e-06
бг,3,8.899225174128173e-06
сз,1,2.9664083913760574e-06
шс,1,2.9664083913760574e-06
гм,2,5.932816782752115e-06
йу,1,2.9664083913760574e-06
гь,1,2.9664083913760574e-06
шр,1,2.9664083913760574e-06
зш,2,5.932816782752115e-06
чг,1,2.9664083913760574e-06
ыэ,1,2.9664083913760574e-06
мю,1,2.9664083913760574e-06
цх,1,2.9664083913760574e-06
