Символ(и),Кількість,Частота
ню,46,0.0001605904141487137
дь,135,0.0004712979545668772
аа,117,0.00040845822729129353
эт,482,0.0016827082526017392
оя,244,0.0008518274141801335
вк,339,0.001183481530356825
рп,116,0.0004049671313315389
иб,385,0.0013440719445055385
ги,276,0.0009635424848922822
ык,145,0.0005062089141644236
тд,146,0.0005097000101241783
ый,655,0.002286667853639293
йр,90,0.0003141986363779181
па,703,0.002454240459707516
лб,102,0.0003560917878949739
мп,285,0.000994962348530074
тя,207,0.0007226568636692117
бь,145,0.0005062089141644236
ац,136,0.0004747890505266318
ай,286,0.0009984534444898287
эк,32,0.00011171507071214867
лл,132,0.00046082466668761324
ыл,673,0.0023495075809148768
ыб,113,0.000394493843452275
вж,24,8.37863030341115e-05
гл,379,0.0013231253687470107
сч,98,0.00034212740405595527
юр,61,0.00021295685354503338
щь,12,4.189315151705575e-05
зн,505,0.0017630034596760962
юп,85,0.0002967431565791449
йо,168,0.0005865041212387805
ыи,167,0.0005830130252790259
гд,244,0.0008518274141801335
ау,212,0.0007401123434679849
ий,487,0.0017001637324005124
чн,310,0.0010822397475239401
кб,62,0.00021644794950478804
мб,179,0.0006249061767960816
лс,803,0.0028033500556829804
ую,353,0.00123235687379339
гр,524,0.0018293342829114345
аж,499,0.0017420568839175683
лч,117,0.00040845822729129353
вл,307,0.0010717664596446763
юк,113,0.000394493843452275
ье,301,0.0010508198838861484
лв,299,0.001043837691966639
лн,329,0.0011485705707592784
мю,2,6.982191919509292e-06
яр,127,0.00044336918688884
аф,149,0.0005201732980034422
аг,382,0.0013335986566262747
йа,65,0.00022692123738405197
кж,37,0.00012917055051092188
иф,68,0.0002373945252633159
фг,1,3.491095959754646e-06
лм,70,0.0002443767171828252
дс,219,0.0007645500151862674
мц,16,5.5857535356074336e-05
кп,142,0.0004957356262851597
бс,52,0.0001815369899072416
еч,449,0.0015675020859298359
ха,276,0.0009635424848922822
ше,690,0.0024088562122307057
ыш,168,0.0005865041212387805
пт,53,0.00018502808586699622
фб,2,6.982191919509292e-06
иа,185,0.0006458527525546095
рб,78,0.00027230548486086237
ца,296,0.001033364404087375
ул,715,0.0024961336112245716
тч,78,0.00027230548486086237
яе,80,0.0002792876767803717
як,271,0.000946087005093509
км,40,0.00013964383839018584
иг,355,0.0012393390657128992
кн,253,0.0008832472778179253
нб,62,0.00021644794950478804
юч,64,0.00022343014142429734
ня,363,0.0012672678333909364
хп,125,0.0004363869949693307
яз,146,0.0005097000101241783
еу,236,0.0008238986465020964
бх,15,5.236643939631969e-05
ьб,132,0.00046082466668761324
зб,64,0.00022343014142429734
ср,101,0.0003526006919352192
ям,251,0.0008762650858984161
йф,23,8.029520707435685e-05
йд,204,0.0007121835757899478
йэ,32,0.00011171507071214867
шк,168,0.0005865041212387805
жэ,3,1.0473287879263938e-05
ум,440,0.0015360822222920442
тщ,15,5.236643939631969e-05
мм,141,0.0004922445303254051
ьр,89,0.00031070754041816347
лр,59,0.0002059746616255241
бю,26,9.07684949536208e-05
иц,383,0.0013370897525860294
пы,104,0.0003630739798144832
яп,384,0.001340580848545784
ьу,60,0.00020946575758527876
ба,347,0.001211410298034862
мч,77,0.00026881438890110775
йи,177,0.0006179239848765723
тц,40,0.00013964383839018584
бщ,63,0.0002199390454645427
сы,147,0.000513191106083933
рь,150,0.0005236643939631969
цо,59,0.0002059746616255241
чв,41,0.00014313493434994046
юн,96,0.000335145212136446
уз,185,0.0006458527525546095
аш,361,0.001260285641471427
хк,82,0.00028626986869988093
ыг,101,0.0003526006919352192
рж,119,0.00041544041921080284
сз,26,9.07684949536208e-05
ущ,58,0.00020248356566576945
ох,284,0.0009914712525703193
ьг,126,0.0004398780909290854
вв,134,0.00046780685860712255
хт,52,0.0001815369899072416
ща,149,0.0005201732980034422
иж,157,0.0005481020656814794
пю,2,6.982191919509292e-06
мз,92,0.0003211808282974274
ош,365,0.0012742500253104458
кр,719,0.0025100979950635903
ащ,73,0.00025485000506208914
ях,97,0.00033863630809620064
зс,53,0.00018502808586699622
ьэ,47,0.00016408151010846835
дх,23,8.029520707435685e-05
нц,216,0.0007540767273070035
йл,87,0.00030372534849865417
ыа,22,7.680411111460221e-05
ьт,172,0.0006004685050777991
ху,103,0.0003595828838547285
йц,45,0.00015709931818895905
пв,33,0.00011520616667190331
ыя,15,5.236643939631969e-05
шь,85,0.0002967431565791449
юв,73,0.00025485000506208914
уц,12,4.189315151705575e-05
рх,62,0.00021644794950478804
хр,87,0.00030372534849865417
йу,65,0.00022692123738405197
дш,31,0.00010822397475239402
хч,20,6.982191919509292e-05
зг,89,0.00031070754041816347
яг,128,0.0004468602828485947
цы,89,0.00031070754041816347
нк,211,0.0007366212475082303
хэ,14,4.8875343436565044e-05
кз,72,0.0002513589091023345
ьа,64,0.00022343014142429734
ды,205,0.0007156746717497024
сц,24,8.37863030341115e-05
ыо,77,0.00026881438890110775
фр,38,0.00013266164647067653
йт,273,0.0009530691970130183
чр,22,7.680411111460221e-05
ьж,20,6.982191919509292e-05
уя,45,0.00015709931818895905
гк,63,0.0002199390454645427
лз,70,0.0002443767171828252
дт,44,0.00015360822222920442
юе,7,2.4437671718282522e-05
ьи,219,0.0007645500151862674
эс,22,7.680411111460221e-05
ьч,120,0.0004189315151705575
гч,9,3.1419863637791814e-05
зц,5,1.745547979877323e-05
зл,68,0.0002373945252633159
юз,34,0.00011869726263165795
уф,16,5.5857535356074336e-05
пб,16,5.5857535356074336e-05
хл,98,0.00034212740405595527
гг,6,2.0946575758527876e-05
еэ,69,0.00024088562122307055
эл,46,0.0001605904141487137
зь,47,0.00016408151010846835
лж,89,0.00031070754041816347
тг,45,0.00015709931818895905
яя,39,0.00013615274243043119
йк,258,0.0009007027576166986
ьз,118,0.0004119493232510482
ыд,119,0.00041544041921080284
иш,188,0.0006563260404338734
ыу,43,0.00015011712626944977
рм,138,0.0004817712424461411
аэ,88,0.00030721644445840885
пп,374,0.0013056698889482375
хг,33,0.00011520616667190331
рз,60,0.00020946575758527876
хд,49,0.00017106370202797763
яэ,38,0.00013266164647067653
гн,104,0.0003630739798144832
нч,105,0.0003665650757742378
дп,88,0.00030721644445840885
юб,143,0.0004992267222449143
ея,93,0.0003246719242571821
шт,52,0.0001815369899072416
лд,110,0.00038402055557301104
шл,167,0.0005830130252790259
юц,13,4.53842474768104e-05
ыэ,16,5.5857535356074336e-05
хм,88,0.00030721644445840885
эп,15,5.236643939631969e-05
юо,40,0.00013964383839018584
фы,6,2.0946575758527876e-05
хб,51,0.00017804589394748694
нэ,11,3.8402055557301106e-05
вэ,49,0.00017106370202797763
кэ,26,9.07684949536208e-05
вч,58,0.00020248356566576945
лы,230,0.0008029520707435686
шп,10,3.491095959754646e-05
яу,74,0.00025834110102184376
йш,64,0.00022343014142429734
цк,81,0.0002827787727401263
йб,123,0.00042940480304982145
чш,26,9.07684949536208e-05
ищ,113,0.000394493843452275
жс,10,3.491095959754646e-05
нг,71,0.00024786781314257983
эм,23,8.029520707435685e-05
эд,2,6.982191919509292e-06
рф,26,9.07684949536208e-05
хз,26,9.07684949536208e-05
чу,200,0.0006982191919509291
дю,7,2.4437671718282522e-05
вю,2,6.982191919509292e-06
кч,32,0.00011171507071214867
юг,35,0.0001221883585914126
уш,224,0.0007820054949850407
гх,2,6.982191919509292e-06
фк,3,1.0473287879263938e-05
гв,33,0.00011520616667190331
мф,20,6.982191919509292e-05
вх,41,0.00014313493434994046
мг,115,0.0004014760353717843
хе,54,0.00018851918182675087
жь,9,3.1419863637791814e-05
бв,21,7.331301515484756e-05
жб,20,6.982191919509292e-05
юд,135,0.0004712979545668772
мт,82,0.00028626986869988093
рю,52,0.0001815369899072416
шо,94,0.0003281630202169367
рч,42,0.00014662603030969512
лг,127,0.00044336918688884
чз,23,8.029520707435685e-05
лэ,23,8.029520707435685e-05
чп,54,0.00018851918182675087
цв,64,0.00022343014142429734
кш,16,5.5857535356074336e-05
чг,8,2.7928767678037168e-05
сш,27,9.425959091337543e-05
пя,130,0.00045384247476810394
ыч,75,0.00026183219698159844
нр,44,0.00015360822222920442
нж,58,0.00020248356566576945
чс,58,0.00020248356566576945
зп,74,0.00025834110102184376
чо,59,0.0002059746616255241
кк,70,0.0002443767171828252
уу,48,0.000167572606068223
лщ,5,1.745547979877323e-05
мь,38,0.00013266164647067653
цу,80,0.0002792876767803717
щу,53,0.00018502808586699622
йч,149,0.0005201732980034422
рд,136,0.0004747890505266318
кд,67,0.00023390342930356127
тю,37,0.00012917055051092188
йе,27,9.425959091337543e-05
жч,19,6.633082323533827e-05
дж,37,0.00012917055051092188
уй,43,0.00015011712626944977
зз,25,8.727739899386614e-05
вщ,5,1.745547979877323e-05
бш,13,4.53842474768104e-05
щс,2,6.982191919509292e-06
бя,79,0.000275796580820617
юф,10,3.491095959754646e-05
сб,65,0.00022692123738405197
бф,1,3.491095959754646e-06
ощ,82,0.00028626986869988093
мш,22,7.680411111460221e-05
рл,43,0.00015011712626944977
зя,86,0.00030023425253889954
чд,12,4.189315151705575e-05
тл,81,0.0002827787727401263
юю,12,4.189315151705575e-05
вф,9,3.1419863637791814e-05
дм,54,0.00018851918182675087
щн,20,6.982191919509292e-05
яж,94,0.0003281630202169367
кя,18,6.283972727558363e-05
юу,19,6.633082323533827e-05
жо,26,9.07684949536208e-05
яф,15,5.236643939631969e-05
бк,31,0.00010822397475239402
сг,39,0.00013615274243043119
ьц,38,0.00013266164647067653
рц,34,0.00011869726263165795
лш,22,7.680411111460221e-05
чб,13,4.53842474768104e-05
чч,10,3.491095959754646e-05
пц,3,1.0473287879263938e-05
тж,31,0.00010822397475239402
дч,15,5.236643939631969e-05
эз,1,3.491095959754646e-06
ыщ,4,1.3964383839018584e-05
дб,29,0.00010124178283288473
ьх,36,0.00012567945455116726
зч,38,0.00013266164647067653
жп,5,1.745547979877323e-05
лт,142,0.0004957356262851597
фл,27,9.425959091337543e-05
сж,31,0.00010822397475239402
бп,4,1.3964383839018584e-05
мэ,22,7.680411111460221e-05
гс,29,0.00010124178283288473
тэ,28,9.775068687313009e-05
гп,18,6.283972727558363e-05
жт,3,1.0473287879263938e-05
зф,3,1.0473287879263938e-05
цф,61,0.00021295685354503338
цн,9,3.1419863637791814e-05
йщ,6,2.0946575758527876e-05
яш,24,8.37863030341115e-05
юх,10,3.491095959754646e-05
яй,33,0.00011520616667190331
цп,11,3.8402055557301106e-05
пк,39,0.00013615274243043119
юя,12,4.189315151705575e-05
лх,15,5.236643939631969e-05
фм,6,2.0946575758527876e-05
нм,34,0.00011869726263165795
яю,24,8.37863030341115e-05
тх,24,8.37863030341115e-05
пш,5,1.745547979877323e-05
йх,26,9.07684949536208e-05
нщ,13,4.53842474768104e-05
цл,3,1.0473287879263938e-05
бт,9,3.1419863637791814e-05
жм,4,1.3964383839018584e-05
фт,8,2.7928767678037168e-05
нф,7,2.4437671718282522e-05
жл,9,3.1419863637791814e-05
сэ,25,8.727739899386614e-05
хщ,1,3.491095959754646e-06
зт,21,7.331301515484756e-05
фн,5,1.745547979877323e-05
кх,7,2.4437671718282522e-05
эн,12,4.189315151705575e-05
хш,17,5.9348631315828975e-05
еф,38,0.00013266164647067653
ыф,10,3.491095959754646e-05
дз,21,7.331301515484756e-05
цд,6,2.0946575758527876e-05
нш,20,6.982191919509292e-05
нл,15,5.236643939631969e-05
сф,20,6.982191919509292e-05
дф,1,3.491095959754646e-06
юш,20,6.982191919509292e-05
зэ,4,1.3964383839018584e-05
лц,4,1.3964383839018584e-05
уэ,32,0.00011171507071214867
жг,9,3.1419863637791814e-05
эй,4,1.3964383839018584e-05
чя,4,1.3964383839018584e-05
зш,4,1.3964383839018584e-05
хф,5,1.745547979877323e-05
рщ,21,7.331301515484756e-05
чж,1,3.491095959754646e-06
гз,6,2.0946575758527876e-05
гш,6,2.0946575758527876e-05
чл,25,8.727739899386614e-05
лф,7,2.4437671718282522e-05
ыж,28,9.775068687313009e-05
юл,24,8.37863030341115e-05
зх,1,3.491095959754646e-06
жц,1,3.491095959754646e-06
гб,5,1.745547979877323e-05
фф,6,2.0946575758527876e-05
цм,6,2.0946575758527876e-05
бд,7,2.4437671718282522e-05
эх,5,1.745547979877323e-05
бэ,8,2.7928767678037168e-05
чм,9,3.1419863637791814e-05
пз,9,3.1419863637791814e-05
шд,1,3.491095959754646e-06
щб,13,4.53842474768104e-05
фю,1,3.491095959754646e-06
йя,17,5.9348631315828975e-05
шх,6,2.0946575758527876e-05
що,1,3.491095959754646e-06
пч,11,3.8402055557301106e-05
бб,5,1.745547979877323e-05
юэ,10,3.491095959754646e-05
йй,2,6.982191919509292e-06
гя,1,3.491095959754646e-06
пщ,2,6.982191919509292e-06
цб,3,1.0473287879263938e-05
хх,8,2.7928767678037168e-05
бц,7,2.4437671718282522e-05
бж,10,3.491095959754646e-05
пэ,6,2.0946575758527876e-05
хя,8,2.7928767678037168e-05
чэ,4,1.3964383839018584e-05
пд,10,3.491095959754646e-05
лй,1,3.491095959754646e-06
шб,1,3.491095959754646e-06
бг,5,1.745547979877323e-05
пф,2,6.982191919509292e-06
тш,13,4.53842474768104e-05
жя,3,1.0473287879263938e-05
бм,15,5.236643939631969e-05
юй,1,3.491095959754646e-06
хц,6,2.0946575758527876e-05
