*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
ф,0.000219082452980821,3.7132619149291695e-06,2.5992833404504185e-05,-,7.426523829858339e-06,0.00015967026234195428,-,7.426523829858339e-06,0.0008206308831993465,-,3.341935723436253e-05,0.00012996416702252094,1.4853047659716678e-05,2.2279571489575018e-05,6.683871446872505e-05,2.2279571489575018e-05,0.0006312545255379588,2.9706095319433356e-05,1.4853047659716678e-05,0.00010768459553294592,1.1139785744787509e-05,-,-,3.7132619149291695e-06,-,-,1.8566309574645847e-05,-,3.7132619149291695e-06,-,3.7132619149291695e-06
х,0.0012030968604370509,0.0001336774289374501,0.00040845881064220863,0.00017452331000167098,0.00014110395276730844,0.00011139785744787509,4.82724048940792e-05,0.00011139785744787509,0.0005272831919199421,3.7132619149291695e-06,0.0001930896195763168,0.00021536919106589184,0.00023764876255546685,0.00043445164404671286,0.003000315627262769,0.0003638996676630586,0.00023022223872560851,0.0004121720725571378,0.00014110395276730844,0.000219082452980821,2.2279571489575018e-05,3.7132619149291695e-06,3.7132619149291695e-06,7.426523829858339e-05,2.5992833404504185e-05,-,-,7.426523829858339e-06,4.82724048940792e-05,-,4.084588106422086e-05
ц,0.0007203728114962589,1.1139785744787509e-05,4.82724048940792e-05,4.084588106422086e-05,2.2279571489575018e-05,0.0013479140751192886,3.7132619149291695e-06,3.7132619149291695e-06,0.0002673548578749002,-,0.00020422940532110432,1.4853047659716678e-05,2.9706095319433356e-05,5.198566680900837e-05,0.0005050036204303671,2.9706095319433356e-05,3.7132619149291695e-06,4.084588106422086e-05,2.2279571489575018e-05,0.0005866953825588088,-,3.7132619149291695e-06,-,-,-,-,0.00014110395276730844,-,-,-,7.426523829858339e-06
ч,0.0025955700785354895,1.1139785744787509e-05,3.7132619149291695e-06,3.7132619149291695e-06,3.7132619149291695e-06,0.0034310540093945526,-,7.426523829858339e-06,0.0013553405989491468,-,0.0002784946436196877,3.341935723436253e-05,7.426523829858339e-06,0.0005012903585154379,0.0001559570004270251,1.4853047659716678e-05,2.5992833404504185e-05,2.5992833404504185e-05,0.004077161582592228,0.0006683871446872506,-,-,-,7.426523829858339e-06,9.283154787322924e-05,-,-,0.00022279571489575018,3.7132619149291695e-06,-,-
ш,0.0015707097900150386,1.1139785744787509e-05,3.341935723436253e-05,-,1.4853047659716678e-05,0.0024804589591726853,-,-,0.0022465234585321474,-,0.0004752975251109337,0.0005384229776647295,4.4559142979150036e-05,0.0004270251202168545,0.00044559142979150036,8.169176212844172e-05,3.7132619149291695e-06,7.426523829858339e-06,0.00019680288149124598,0.00037132619149291696,-,-,-,1.1139785744787509e-05,3.7132619149291695e-06,-,-,0.0003676129295779878,-,-,-
щ,0.00048272404894079203,-,-,-,3.7132619149291695e-06,0.001377620170438722,-,-,0.0007389391210709047,-,-,-,-,3.341935723436253e-05,-,-,3.7132619149291695e-06,-,-,7.055197638365422e-05,-,-,-,-,-,-,-,2.5992833404504185e-05,-,-,-
ы,7.055197638365422e-05,0.000854050240433709,0.001711813742782347,0.00023393550064053768,0.0003119140008540502,0.0011288316221384675,6.683871446872505e-05,0.00024136202447039602,0.0004864373108557212,0.0017675126715062848,0.0005235699300050129,0.0026884016264087187,0.001997734910231893,0.000987727669371159,0.0003527598819182711,0.0006386810493678171,0.00047158426319600453,0.0013998997419282968,0.0007872115259649839,0.00011511111936280426,1.1139785744787509e-05,0.0010991255268190342,1.4853047659716678e-05,0.00029706095319433355,0.000679526930432038,-,-,-,6.312545255379589e-05,3.7132619149291695e-06,7.055197638365422e-05
ь,0.0006461075731976755,0.0004901505727706504,0.0014555986706522345,0.0003527598819182711,0.00044559142979150036,0.0017378065761868514,8.911828595830007e-05,0.00048272404894079203,0.0009728746217114424,3.7132619149291695e-06,0.0021759714821484935,0.00014853047659716678,0.0007203728114962589,0.00227994281576651,0.0008391971927739923,0.0010434265980950967,0.0002562150721301127,0.00219082452980821,0.0005347097157498004,0.00024136202447039602,5.5698928723937545e-05,0.00012996416702252094,9.283154787322924e-05,0.0004864373108557212,0.0005347097157498004,7.426523829858339e-06,-,-,0.00020422940532110432,0.0005495627634095171,0.0006943799780917547
э,-,-,3.7132619149291695e-06,1.4853047659716678e-05,3.7132619149291695e-06,-,-,7.426523829858339e-06,-,1.8566309574645847e-05,8.54050240433709e-05,0.00010025807170308757,1.1139785744787509e-05,4.4559142979150036e-05,-,7.426523829858339e-06,7.055197638365422e-05,8.911828595830007e-05,0.002666122054919144,-,-,3.7132619149291695e-06,3.7132619149291695e-06,-,-,-,-,-,3.7132619149291695e-06,-,-
ю,0.00017452331000167098,0.00047901078702586287,0.00034904662000334195,0.0001448172146822376,0.0005347097157498004,7.797850021351256e-05,8.169176212844172e-05,0.00013739069085237928,0.0003453333580884128,-,0.0003007742151092627,0.0001448172146822376,0.00014853047659716678,0.00039360576298249196,0.00023393550064053768,0.0003341935723436253,0.000219082452980821,0.0004493046917064295,0.0006832401923469672,0.00010768459553294592,3.341935723436253e-05,1.8566309574645847e-05,7.797850021351256e-05,0.0001819498338315293,9.283154787322924e-05,0.000568129072984163,-,-,3.7132619149291694e-05,4.084588106422086e-05,4.4559142979150036e-05
я,0.0003044874770241919,0.0005124301442602254,0.001667254599803197,0.0006943799780917547,0.001377620170438722,0.0004864373108557212,0.0007315125972410464,0.002149978648743989,0.0010100072408607342,2.2279571489575018e-05,0.0012179499080967676,0.0011473979317131134,0.0007203728114962589,0.0022465234585321474,0.0008132043593694881,0.00116225097937283,0.0003564731438332003,0.00210170624384991,0.002216817363212714,0.00022650897681067935,4.084588106422086e-05,0.00022650897681067935,6.683871446872505e-05,0.0005755555968140213,7.797850021351256e-05,0.00017452331000167098,-,-,0.0001225376431926626,0.0001225376431926626,0.0003267670485137669
