*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
ф,0.00021722582202335643,3.7132619149291695e-06,2.5992833404504185e-05,5.5698928723937545e-06,5.5698928723937545e-06,0.00016524015521434803,-,7.426523829858339e-06,0.0007723584783052673,-,2.7849464361968772e-05,0.00011511111936280426,1.1139785744787509e-05,2.41362024470396e-05,7.797850021351256e-05,2.2279571489575018e-05,0.0005792688587289504,2.9706095319433356e-05,1.6709678617181263e-05,9.283154787322924e-05,5.5698928723937545e-06,-,-,1.8566309574645848e-06,-,-,2.2279571489575018e-05,1.8566309574645848e-06,1.8566309574645848e-06,-,5.5698928723937545e-06
х,0.001193813705649728,0.00016524015521434803,0.00048458067989825664,0.0001726666790442064,0.00015224373851209594,0.00010582796457548133,4.270251202168545e-05,7.983513117097714e-05,0.00048272404894079203,1.8566309574645848e-06,0.00025064517925771894,0.00021722582202335643,0.00020794266723603348,0.00040845881064220863,0.0029316202818365795,0.0003917491320250274,0.000219082452980821,0.000438164905961642,0.0001448172146822376,0.0002209390839382856,2.41362024470396e-05,9.283154787322924e-06,7.426523829858339e-06,7.797850021351256e-05,2.5992833404504185e-05,1.8566309574645848e-06,-,3.7132619149291695e-06,4.084588106422086e-05,-,2.7849464361968772e-05
ц,0.0006739570375596443,9.283154787322924e-06,5.198566680900837e-05,3.898925010675628e-05,2.042294053211043e-05,0.001288501884480422,1.8566309574645848e-06,9.283154787322924e-06,0.00028777779840701066,-,0.000219082452980821,9.283154787322924e-06,2.2279571489575018e-05,5.5698928723937545e-05,0.0005161434061751545,3.898925010675628e-05,5.5698928723937545e-06,4.084588106422086e-05,1.8566309574645847e-05,0.0005829821206438797,-,3.7132619149291695e-06,-,3.7132619149291695e-06,-,-,0.00013924732180984386,-,3.7132619149291695e-06,-,3.7132619149291695e-06
ч,0.002525018102151835,1.4853047659716678e-05,1.1139785744787509e-05,5.5698928723937545e-06,5.5698928723937545e-06,0.003501605985778207,-,5.5698928723937545e-06,0.0014017563728857614,-,0.0002766380126622231,4.270251202168545e-05,5.5698928723937545e-06,0.0005551326562819108,0.0001336774289374501,1.2996416702252093e-05,3.341935723436253e-05,2.7849464361968772e-05,0.004060451903975047,0.000679526930432038,-,1.8566309574645848e-06,-,3.7132619149291695e-06,8.54050240433709e-05,-,-,0.00023022223872560851,3.7132619149291695e-06,-,3.7132619149291695e-06
ш,0.0016301219806539055,1.6709678617181263e-05,3.156272627689794e-05,-,1.2996416702252093e-05,0.0025695772451309854,-,1.8566309574645848e-06,0.002283656077681439,-,0.0004901505727706504,0.0005421362395796588,3.341935723436253e-05,0.00040845881064220863,0.00039546239393995657,8.169176212844172e-05,5.5698928723937545e-06,1.2996416702252093e-05,0.00019123298861885223,0.000339763465216019,1.8566309574645848e-06,-,1.8566309574645848e-06,5.5698928723937545e-06,5.5698928723937545e-06,-,-,0.00038246597723770446,-,-,-
щ,0.00048272404894079203,-,-,-,1.8566309574645848e-06,0.001403613003843226,-,-,0.0007723584783052673,-,-,-,-,3.527598819182711e-05,-,-,3.7132619149291695e-06,1.8566309574645848e-06,1.8566309574645848e-06,7.797850021351256e-05,-,-,-,-,-,-,-,2.2279571489575018e-05,1.8566309574645848e-06,-,-
ы,7.426523829858339e-05,0.0008559068713911735,0.0017322366833144576,0.00023950539351293143,0.00028592116744954605,0.0011696775032026883,7.055197638365422e-05,0.00023764876255546685,0.0004641577393661462,0.0017767958262936076,0.0005384229776647295,0.002638272590557175,0.001984738493529641,0.0009320287406472215,0.00035832977479066484,0.0006628172518148567,0.0005180000371326192,0.0013442008132043594,0.0008466237166038506,0.0001243942741501272,1.4853047659716678e-05,0.0010657061695846716,1.1139785744787509e-05,0.0002562150721301127,0.0006331111564954234,5.5698928723937545e-06,-,-,7.24086073411188e-05,1.8566309574645848e-06,6.498208351126047e-05
ь,0.0006813835613895026,0.0005291398228774067,0.001416609420545478,0.00036018640574812945,0.0004270251202168545,0.001797218766825718,7.612186925604797e-05,0.00045487458457882325,0.0010118638718181988,1.8566309574645848e-06,0.0021629750654462414,0.0001726666790442064,0.0007036631328790776,0.0022780861848090456,0.0008781864428807486,0.0010434265980950967,0.0002710681197898294,0.002181541375020887,0.000581125489686415,0.0002320788696830731,4.270251202168545e-05,0.00012068101223519801,0.00011325448840533967,0.0004938638346855795,0.0005161434061751545,1.1139785744787509e-05,-,-,0.00019680288149124598,0.0006256846326655651,0.000621971370750636
э,-,1.8566309574645848e-06,7.426523829858339e-06,1.1139785744787509e-05,5.5698928723937545e-06,-,-,3.7132619149291695e-06,-,1.2996416702252093e-05,6.312545255379589e-05,9.840144074562299e-05,1.4853047659716678e-05,5.755555968140213e-05,-,1.1139785744787509e-05,5.941219063886671e-05,8.726165500083549e-05,0.002577003768960844,-,-,5.5698928723937545e-06,1.8566309574645848e-06,-,1.8566309574645848e-06,-,-,-,1.8566309574645848e-06,-,-
ю,0.0001448172146822376,0.0004901505727706504,0.0003434767271309482,0.00014110395276730844,0.0005718423348990921,7.983513117097714e-05,7.797850021351256e-05,0.0001225376431926626,0.0003527598819182711,-,0.00030820073893912106,0.00012810753606505636,0.0001819498338315293,0.0003861792391526336,0.00023022223872560851,0.00032491041755630234,0.00023950539351293143,0.0004957204656430441,0.000644250942240211,0.00010025807170308757,2.41362024470396e-05,2.2279571489575018e-05,6.869534542618964e-05,0.00023393550064053768,0.00011325448840533967,0.0005180000371326192,-,-,4.4559142979150036e-05,4.641577393661462e-05,5.198566680900837e-05
я,0.0003286236794712315,0.0005514193943669817,0.0016691112307606617,0.000711089656708936,0.001403613003843226,0.0004697276322385399,0.0007185161805387943,0.002149978648743989,0.0010434265980950967,2.2279571489575018e-05,0.001193813705649728,0.0012105233842669093,0.000724086073411188,0.002257663244276935,0.0008670466571359611,0.001152967824585507,0.00030820073893912106,0.0021759714821484935,0.002231670410872431,0.0002543584411726481,5.198566680900837e-05,0.00023393550064053768,5.941219063886671e-05,0.0005142867752176899,6.683871446872505e-05,0.00017823657191660014,-,-,0.0001578136313844897,0.00011139785744787509,0.00033233694138616067
