*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
х,0.0009720716342019666,-,0.00010904649742650266,-,-,4.0502984758415274e-05,-,-,0.0001588963248214753,-,-,6.542789845590159e-05,5.9196670031530015e-05,0.0001620119390336611,0.0021778143343178674,-,7.477474109245897e-05,3.738737054622948e-05,2.1809299485300533e-05,0.0001246245684874316,-,-,-,-,-,-,-,3.1156142121857905e-06,-,-,-,0.0030657643847908176
ц,0.0005888510861031144,-,1.869368527311474e-05,2.1809299485300533e-05,3.1156142121857905e-06,0.0011029274311137698,-,-,0.00026171159382360636,-,0.0001651275532458469,3.1156142121857905e-06,-,3.738737054622948e-05,0.00040814546179633853,-,-,3.1156142121857905e-06,3.1156142121857905e-06,0.000504729502374098,-,-,-,-,-,-,0.0001277401826996174,-,-,-,-,0.0002928677359454643
ч,0.0021155020500741514,-,-,-,-,0.002987874029486173,-,-,0.0011060430453259556,-,0.00020874615221644794,4.673421318278686e-05,-,0.000445532832342568,9.65840405777595e-05,-,1.869368527311474e-05,-,0.0035455689734674293,0.0005950823145274859,-,-,-,-,7.789035530464476e-05,-,-,0.00018693685273114743,-,-,-,0.00013085579691180318
ш,0.0014331825376054635,-,1.2462456848743162e-05,-,-,0.0021279645069228947,-,-,0.0019441432684039331,-,0.00043930160391819644,0.0004112610760085243,2.4924913697486324e-05,0.00037387370546229485,0.00033648633491606536,6.854351266808738e-05,6.231228424371581e-06,-,0.0002180929948530053,0.00027728966488453535,-,-,-,-,6.231228424371581e-06,-,-,0.0003489487917648085,-,-,-,0.0001246245684874316
щ,0.0003925673907354096,-,-,-,-,0.0012836330554205457,-,-,0.0007072444261661744,-,-,-,-,2.4924913697486324e-05,-,-,3.1156142121857905e-06,-,-,7.789035530464476e-05,-,-,-,-,-,-,-,1.869368527311474e-05,-,-,-,1.869368527311474e-05
ы,-,0.0004860358171009833,0.0010935805884772123,0.00010593088321431687,8.412158372901634e-05,0.0009253374210191797,3.11561421218579e-05,5.296544160715843e-05,1.2462456848743162e-05,0.0014456449944542068,0.00017447439588240426,0.0022962076743809276,0.0014799167507882503,0.0003240238780673222,6.231228424371581e-06,0.00013085579691180318,0.00040814546179633853,0.0008194065378048629,0.0005265388018593985,3.1156142121857905e-06,-,0.0008287533804414202,-,0.0001277401826996174,0.00047668897446442594,3.1156142121857905e-06,-,-,-,-,-,0.004209194800663002
ь,1.557807106092895e-05,9.96996547899453e-05,9.34684263655737e-06,4.0502984758415274e-05,3.11561421218579e-05,0.001205742700115901,-,0.00012150895427524582,7.165912688027317e-05,-,0.0011527772585087424,-,0.0003769893196744806,0.000978302862626338,3.427175633404369e-05,-,-,0.0009128749641704366,0.00012150895427524582,-,6.231228424371581e-06,-,6.854351266808738e-05,3.738737054622948e-05,0.0004143766902207101,1.2462456848743162e-05,-,-,-,0.0004984982739497264,0.0003894517765232238,0.010300220585486223
э,-,-,-,9.34684263655737e-06,3.1156142121857905e-06,-,-,3.1156142121857905e-06,-,6.231228424371581e-06,5.6081055819344224e-05,8.100596951683055e-05,9.34684263655737e-06,5.296544160715843e-05,-,6.231228424371581e-06,4.0502984758415274e-05,8.100596951683055e-05,0.0022152017048640968,-,-,3.1156142121857905e-06,-,-,-,-,-,-,-,-,-,4.0502984758415274e-05
ю,-,0.00030844580700639326,-,-,0.00033648633491606536,-,6.231228424371581e-06,2.8040527909672112e-05,-,-,6.231228424371581e-06,4.3618598970601065e-05,2.1809299485300533e-05,6.854351266808738e-05,-,-,7.165912688027317e-05,0.00014954948218491793,0.0004143766902207101,-,-,-,4.3618598970601065e-05,6.542789845590159e-05,4.984982739497265e-05,0.00040814546179633853,-,-,-,4.3618598970601065e-05,-,0.0033524008923119103
я,3.1156142121857905e-06,4.673421318278686e-05,0.0002554803653992348,0.00027728966488453535,0.0007384005682880323,9.96996547899453e-05,0.0005265388018593985,0.001560922720305081,1.2462456848743162e-05,1.869368527311474e-05,7.477474109245897e-05,0.0008692563651998355,0.00034271756334043694,0.0006698570556199449,-,2.1809299485300533e-05,3.11561421218579e-05,0.0008879500504729502,0.0014612230655151356,-,3.1156142121857905e-06,0.00013708702533617477,3.11561421218579e-05,0.00014954948218491793,-,0.0001246245684874316,-,-,-,8.412158372901634e-05,0.00019005246694333322,0.01139068555975125
 ,0.0028757119178474846,0.007278074799666006,0.01492067646215775,0.0050317169526800515,0.006810732667838138,0.003928789521566282,0.0016886629030046984,0.004146882516419287,0.010315798656547151,1.869368527311474e-05,0.010892187285801522,0.0025329943545070476,0.005511521541356663,0.014540571528271084,0.01184868084894256,0.014989219974825838,0.004224772871723932,0.01546902456350245,0.0067858077541406514,0.003726274597774205,0.0007695567104098902,0.0011371991874478135,0.0002866365075210927,0.004963173440011964,0.0008879500504729502,6.542789845590159e-05,3.1156142121857905e-06,3.1156142121857905e-06,0.002392791714958687,7.477474109245897e-05,0.0016294662329731683,-
