*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
ф,0.00017759001009459005,-,-,-,-,0.00013708702533617477,-,-,0.0006277962637554368,-,1.0904649742650266e-05,9.191061925948082e-05,4.673421318278685e-06,-,5.763886292543712e-05,-,0.00047668897446442594,6.231228424371581e-06,7.789035530464475e-06,7.010131977418028e-05,4.673421318278685e-06,-,-,-,-,-,1.869368527311474e-05,1.5578071060928952e-06,1.5578071060928952e-06,-,-,0.00018382123851896164
х,0.000965840405777595,-,0.0001277401826996174,-,-,3.894517765232238e-05,-,-,0.00015266509639710372,-,-,6.075447713762291e-05,5.452324871325133e-05,0.00014799167507882505,0.0022416844256676763,1.5578071060928952e-06,7.321693398636607e-05,3.894517765232238e-05,2.4924913697486324e-05,0.00011995114716915293,-,-,-,-,-,-,-,3.1156142121857905e-06,-,-,-,0.003106267369549233
ц,0.0005623683652995351,-,1.869368527311474e-05,2.6482720803579216e-05,3.1156142121857905e-06,0.0010717712889919118,-,-,0.000222766416171284,-,0.00017135878167021847,4.673421318278685e-06,-,2.6482720803579216e-05,0.00040970326890243144,-,-,1.5578071060928952e-06,3.1156142121857905e-06,0.0004860358171009833,-,-,-,-,-,-,0.00011683553295696713,-,-,-,-,0.00026950062935407086
ч,0.002112386435861966,-,-,-,-,0.0029380242020912,-,-,0.0011621241011452999,-,0.000222766416171284,3.582956344013659e-05,-,0.0004564374820852183,9.346842636557371e-05,-,2.0251492379207637e-05,-,0.0033991351054946974,0.0005701574008299996,-,-,-,-,7.010131977418028e-05,-,-,0.000193168081155519,1.5578071060928952e-06,-,-,0.0001588963248214753
ш,0.0013646390249373761,-,1.557807106092895e-05,-,-,0.002156005034832567,-,-,0.0019098715120698894,-,0.00040814546179633853,0.0004548796749791254,2.0251492379207637e-05,0.00032869729938560087,0.00032713949227950796,5.452324871325133e-05,3.1156142121857905e-06,1.5578071060928952e-06,0.0001588963248214753,0.0002850787004149998,-,-,-,-,4.673421318278685e-06,-,-,0.00032090826385513643,-,-,-,0.00011060430453259555
щ,0.00040502984758415277,-,-,-,-,0.0011777021722062287,-,-,0.0006449321419224586,-,-,-,-,2.8040527909672112e-05,-,-,1.5578071060928952e-06,-,-,6.542789845590159e-05,-,-,-,-,-,-,-,1.869368527311474e-05,1.5578071060928952e-06,-,-,1.0904649742650266e-05
ы,-,0.0004953826597375407,0.0010624244463553546,0.00011060430453259555,7.944816241073765e-05,0.0008895078575790431,2.9598335015765008e-05,4.673421318278686e-05,1.4020263954836056e-05,0.0014892635934248078,0.00018226343141286873,0.0021746987201056818,0.0014472028015602996,0.00034427537044652985,3.1156142121857905e-06,0.00012306676138133872,0.0003458331775526227,0.0007711145175159831,0.0005312122231776773,4.673421318278685e-06,-,0.0008505626799267207,1.5578071060928952e-06,0.0001292979898057103,0.0005156341521167483,1.5578071060928952e-06,-,-,-,-,-,0.004282411734649369
ь,1.2462456848743162e-05,0.00010437307610822397,7.789035530464475e-06,4.0502984758415274e-05,3.582956344013659e-05,0.0011387569945539063,-,0.0001292979898057103,7.477474109245897e-05,-,0.0010889071671589337,-,0.00033804414202215827,0.0010032277763238244,4.3618598970601065e-05,-,-,0.0008723719794120213,0.00011216211163868845,-,6.231228424371581e-06,-,8.567939083510923e-05,4.3618598970601065e-05,0.00040347204047805986,7.789035530464475e-06,-,-,-,0.0005234231876472127,0.0004283969541755462,0.010283084707319201
э,-,-,-,7.789035530464475e-06,1.5578071060928952e-06,-,-,1.5578071060928952e-06,-,7.789035530464475e-06,5.140763450106554e-05,8.100596951683055e-05,7.789035530464475e-06,4.673421318278686e-05,-,9.34684263655737e-06,4.517640607669396e-05,7.010131977418028e-05,0.002156005034832567,-,-,4.673421318278685e-06,1.5578071060928952e-06,-,1.5578071060928952e-06,-,-,-,-,-,-,4.206079186450817e-05
ю,-,0.00030533019279420744,-,1.5578071060928952e-06,0.00034427537044652985,-,6.231228424371581e-06,2.6482720803579216e-05,-,-,4.673421318278685e-06,3.894517765232238e-05,2.4924913697486324e-05,8.100596951683055e-05,-,-,6.542789845590159e-05,0.00014487606086663926,0.0004190501115389888,-,-,6.231228424371581e-06,4.517640607669396e-05,5.763886292543712e-05,7.165912688027317e-05,0.00042995476128163904,-,-,-,3.582956344013659e-05,-,0.003333707207038796
я,1.5578071060928952e-06,3.2713949227950796e-05,0.0002632694009296993,0.0002959833501576501,0.0007088022332722673,9.502623347166661e-05,0.0005078451165862839,0.0015235353497588516,1.4020263954836056e-05,1.869368527311474e-05,7.477474109245897e-05,0.0008739297865181142,0.0003240238780673222,0.0006013135429518575,-,1.557807106092895e-05,3.894517765232238e-05,0.0008645829438815568,0.0014004685883775127,-,1.5578071060928952e-06,0.00013864483244226767,3.2713949227950796e-05,0.00011839334006306003,3.1156142121857905e-06,0.00014487606086663926,-,-,-,8.567939083510923e-05,0.0001993993095798906,0.011044852382198626
 ,0.002928677359454643,0.007317019977318329,0.014956506025597886,0.0051220697648334396,0.006841888809959996,0.00380416495307885,0.0016606223750950263,0.004064318739796364,0.01062736007776573,2.6482720803579216e-05,0.010971635448212261,0.0026186737453421567,0.005690669358557346,0.014556149599332012,0.011953053925050784,0.015204197355466657,0.004316683490983413,0.015353746837651575,0.006743746962276143,0.003762104161214342,0.000772672324622076,0.0011231789234929775,0.0002959833501576501,0.005092471429817674,0.000981418476838524,7.321693398636607e-05,1.5578071060928952e-06,3.1156142121857905e-06,0.002456661806308496,6.38700913498087e-05,0.0015655961416233596,-
