C:\Users\kysto\PycharmProjects\pythonProject1\venv\Scripts\python.exe C:\Users\kysto\PycharmProjects\pythonProject1\main.py 
-----Текст із пробілами-----
Біграмма без перетину'ёл': 5.074003066220053e-07
Біграмма з перетином'ён': 5.196725958711492e-07
Біграмма без перетину'ён': 5.074003066220053e-07
Біграмма з перетином'ёр': 2.598362979355746e-07
Біграмма без перетину'ёр': 5.074003066220053e-07
Біграмма з перетином'ёт': 2.598362979355746e-07
Біграмма без перетину'ёт': 5.074003066220053e-07
Біграмма з перетином'ё ': 2.1046740132781545e-05
Біграмма без перетину'ё ': 1.9788611958258208e-05
Біграмма з перетином'жа': 0.0006734956842490094
Біграмма без перетину'жа': 0.000670275805047669
Біграмма з перетином'жб': 2.858199277291321e-05
Біграмма без перетину'жб': 3.2473619623808336e-05
Біграмма з перетином'жв': 2.8581992772913207e-06
Біграмма без перетину'жв': 3.0444018397320317e-06
Біграмма з перетином'жг': 2.3385266814201718e-05
Біграмма без перетину'жг': 2.587741563772227e-05
Біграмма з перетином'жд': 0.0010455812628927523
Біграмма без перетину'жд': 0.0010142932129373885
Біграмма з перетином'же': 0.003134145425698901
Біграмма без перетину'же': 0.0030667274532233998
Біграмма з перетином'жё': 5.196725958711492e-07
Біграмма без перетину'жё': 5.074003066220053e-07
Біграмма з перетином'жж': 0.00010913124513294134
Біграмма без перетину'жж': 0.00010249486193764506
Біграмма з перетином'жи': 0.0019012221919945996
Біграмма без перетину'жи': 0.0018413557127312573
Біграмма з перетином'жк': 2.3125430516266144e-05
Біграмма без перетину'жк': 2.6384815944344276e-05
Біграмма з перетином'жл': 1.2991814896778731e-06
Біграмма без перетину'жл': 5.074003066220053e-07
Біграмма з перетином'жм': 2.078690383484597e-06
Біграмма без перетину'жм': 1.5222009198660159e-06
Біграмма з перетином'жн': 0.00041911594857008187
Біграмма без перетину'жн': 0.0004115016486704463
Біграмма з перетином'жо': 1.896804974929695e-05
Біграмма без перетину'жо': 2.0296012264880213e-05
Біграмма з перетином'жр': 5.5345131460277396e-05
Біграмма без перетину'жр': 5.276963188868855e-05
Біграмма з перетином'жс': 1.0393451917422985e-06
Біграмма без перетину'жс': 1.5222009198660159e-06
Біграмма з перетином'жу': 0.00020838871094433086
Біграмма без перетину'жу': 0.00019331951682298402
Біграмма з перетином'жч': 1.9747558643103672e-05
Біграмма без перетину'жч': 1.8773811345014195e-05
Біграмма з перетином'жь': 3.715659060478717e-05
Біграмма без перетину'жь': 3.2473619623808336e-05
Біграмма з перетином'ж ': 6.340005669628021e-05
Біграмма без перетину'ж ': 5.0740030662200527e-05
Біграмма з перетином'за': 0.004105153671084143
Біграмма без перетину'за': 0.003977003603303278
Біграмма з перетином'зб': 0.00024944284601815164
Біграмма без перетину'зб': 0.0002476113496315386
Біграмма з перетином'зв': 0.0008940967011963123
Біграмма без перетину'зв': 0.000854462116351457
Біграмма з перетином'зг': 0.00016213784991179857
Біграмма без перетину'зг': 0.0001638902990389077
Біграмма з перетином'зд': 0.0005298062114906367
Біграмма без перетину'зд': 0.0005312481210332395
Біграмма з перетином'зе': 0.0011126190277601306
Біграмма без перетину'зе': 0.0010954772619969095
Біграмма з перетином'зж': 1.2731978598843157e-05
Біграмма без перетину'зж': 9.6406058258181e-06
Біграмма з перетином'зз': 0.00015746079654895822
Біграмма без перетину'зз': 0.00015019049076011356
Біграмма з перетином'зи': 0.0002632141698087371
Біграмма без перетину'зи': 0.0002506557514712706
Біграмма з перетином'зк': 3.9235280988271767e-05
Біграмма без перетину'зк': 3.551802146354037e-05
Біграмма з перетином'зл': 0.0005123971795289532
Біграмма без перетину'зл': 0.0004957300995696992
Біграмма з перетином'зм': 0.00016759441216844564
Біграмма без перетину'зм': 0.0001633828987322857
Біграмма з перетином'зн': 0.0011108001736745816
Біграмма без перетину'зн': 0.0010761960503452733
Біграмма з перетином'зо': 0.0005563095138800653
Біграмма без перетину'зо': 0.0005495145320716317
Біграмма з перетином'зп': 4.936889660775918e-06
Біграмма без перетину'зп': 4.566602759598048e-06
Біграмма з перетином'зр': 0.0010279123946331332
Біграмма без перетину'зр': 0.0010168302144704987
Біграмма з перетином'зс': 1.5590177876134478e-06
Біграмма без перетину'зс': 1.0148006132440105e-06
Біграмма з перетином'зт': 2.5983629793557463e-06
Біграмма без перетину'зт': 3.0444018397320317e-06
Біграмма з перетином'зу': 0.0002538600630830564
Біграмма без перетину'зу': 0.0002516705520845146
Біграмма з перетином'зф': 2.598362979355746e-07
Біграмма без перетину'зф': 5.074003066220053e-07
Біграмма з перетином'зц': 2.8581992772913207e-06
Біграмма без перетину'зц': 3.0444018397320317e-06
Біграмма з перетином'зч': 1.2991814896778731e-06
Біграмма без перетину'зч': 1.0148006132440105e-06
Біграмма з перетином'зш': 5.196725958711492e-07
Біграмма з перетином'зъ': 8.834434129809537e-06
Біграмма без перетину'зъ': 9.6406058258181e-06
Біграмма з перетином'зы': 0.00040872249665265887
Біграмма без перетину'зы': 0.00041048684805720226
Біграмма з перетином'зь': 0.0002016329671980059
Біграмма без перетину'зь': 0.00018824551375676396
Біграмма з перетином'зю': 9.354106725680687e-06
Біграмма без перетину'зю': 7.611004599330079e-06
Біграмма з перетином'зя': 0.00030192977820113774
Біграмма без перетину'зя': 0.00029530697845400706
Біграмма з перетином'з ': 0.0015140661080705934
Біграмма без перетину'з ': 0.0015095159122004657
Біграмма з перетином'иа': 0.0003687077067705804
Біграмма без перетину'иа': 0.0003541654140221597
Біграмма з перетином'иб': 0.0011554920169195005
Біграмма без перетину'иб': 0.001159409700631282
Біграмма з перетином'ив': 0.0016754244490885851
Біграмма без перетину'ив': 0.001624188381497039
Біграмма з перетином'иг': 0.0002969928885403618
Біграмма без перетину'иг': 0.0002963217790672511
Біграмма з перетином'ид': 0.0017266121997818935
Біграмма без перетину'ид': 0.0016860912189049235
Біграмма з перетином'ие': 0.002927055896244248
Біграмма без перетину'ие': 0.0028465157201494496
Біграмма з перетином'иж': 0.00019513705974961654
Біграмма без перетину'иж': 0.00019687131896933805
Біграмма з перетином'из': 0.003056454372616164
Біграмма без перетину'из': 0.0029454587799407407
Біграмма з перетином'ии': 0.0012537101375391475
Біграмма без перетину'ии': 0.0012152237343597027
Біграмма з перетином'ий': 0.001199144514972677
Біграмма без перетину'ий': 0.0012167459352795686
Біграмма з перетином'ик': 0.0019856689888236613
Біграмма без перетину'ик': 0.0019144213568848259
Біграмма з перетином'ил': 0.005903480689096256
Біграмма без перетину'ил': 0.005764574883532602
Біграмма з перетином'им': 0.003824010796717852
Біграмма без перетину'им': 0.003734973657044581
Біграмма з перетином'ин': 0.0026334408795770487
Біграмма без перетину'ин': 0.002598396970211289
Біграмма з перетином'ио': 0.0006519292715203567
Біграмма без перетину'ио': 0.0006296837805179086
Біграмма з перетином'ип': 0.0002754264758117091
Біграмма без перетину'ип': 0.0002760257668023709
Біграмма з перетином'ир': 0.0008429089505030041
Біграмма без перетину'ир': 0.0008361957053130648
Біграмма з перетином'ис': 0.003555859737248339
Біграмма без перетину'ис': 0.0034924363104792623
Біграмма з перетином'ит': 0.004390453926217405
Біграмма без перетину'ит': 0.004294636195248652
Біграмма з перетином'иу': 0.0004677053362840343
Біграмма без перетину'иу': 0.00044397526829425464
Біграмма з перетином'иф': 0.00017538950110651286
Біграмма без перетину'иф': 0.00017454570547796981
Біграмма з перетином'их': 0.0033919030332509913
Біграмма без перетину'их': 0.003380808243022421
Біграмма з перетином'иц': 0.0007187072000897994
Біграмма без перетину'иц': 0.0007083308280443194
Біграмма з перетином'ич': 0.00037208557864374287
Біграмма без перетину'ич': 0.0003643134201545998
Біграмма з перетином'иш': 0.0006064579193816312
Біграмма без перетину'иш': 0.0005967027605874783
Біграмма з перетином'ищ': 0.0004495167954285441
Біграмма без перетину'ищ': 0.00045361587412007275
Біграмма з перетином'иэ': 1.2991814896778731e-06
Біграмма без перетину'иэ': 1.5222009198660159e-06
Біграмма з перетином'ию': 0.0003993683899269782
Біграмма без перетину'ию': 0.0003912056364055661
Біграмма з перетином'ия': 0.0017655876444722296
Біграмма без перетину'ия': 0.0017449496544730762
Біграмма з перетином'и ': 0.028559906687588687
Біграмма без перетину'и ': 0.027901942861144072
Біграмма з перетином'йв': 7.795088938067239e-07
Біграмма без перетину'йв': 1.0148006132440105e-06
Біграмма з перетином'йг': 2.598362979355746e-07
Біграмма без перетину'йг': 5.074003066220053e-07
Біграмма з перетином'йд': 0.00044587908725744605
Біграмма без перетину'йд': 0.0004505714722803407
Біграмма з перетином'йе': 2.598362979355746e-07
Біграмма з перетином'йи': 1.0393451917422985e-06
Біграмма з перетином'йк': 3.897544469033619e-06
Біграмма без перетину'йк': 3.551802146354037e-06
Біграмма з перетином'йл': 4.157380766969194e-06
Біграмма без перетину'йл': 2.029601226488021e-06
Біграмма з перетином'йм': 1.7668868259619073e-05
Біграмма без перетину'йм': 1.9788611958258208e-05
Біграмма з перетином'йн': 0.00020033378570832804
Біграмма без перетину'йн': 0.00019940832050244808
Біграмма з перетином'йо': 7.795088938067239e-07
Біграмма без перетину'йо': 1.5222009198660159e-06
Біграмма з перетином'йр': 7.795088938067239e-07
Біграмма без перетину'йр': 5.074003066220053e-07
Біграмма з перетином'йс': 0.0005833324888653651
Біграмма без перетину'йс': 0.0005591551378974498
Біграмма з перетином'йт': 0.00046536680960261416
Біграмма без перетину'йт': 0.0004495566716670967
Біграмма з перетином'йц': 3.27393735398824e-05
Біграмма без перетину'йц': 3.7040222383406386e-05
Біграмма з перетином'йч': 1.2991814896778731e-06
Біграмма без перетину'йч': 1.5222009198660159e-06
Біграмма з перетином'йш': 0.00010081648359900296
Біграмма без перетину'йш': 9.691345856480302e-05
Біграмма з перетином'йя': 1.0393451917422985e-06
Біграмма без перетину'йя': 5.074003066220053e-07
Біграмма з перетином'й ': 0.005758492034848205
Біграмма без перетину'й ': 0.005593073579894364
Біграмма з перетином'ка': 0.00517515954598284
Біграмма без перетину'ка': 0.00500753362605257
