-----Текст із пробілами-----
Біграмма 'рт': 0.0010484647395976898
Біграмма 'ру': 0.0034052397173449634
Біграмма 'рф': 2.250941248853797e-05
Біграмма 'рх': 0.00012360431770021727
Біграмма 'рц': 5.765568812853585e-05
Біграмма 'рч': 4.0280001295278474e-05
Біграмма 'рш': 0.00032855844193795775
Біграмма 'рщ': 2.6853334196852316e-05
Біграмма 'ры': 0.002415615371796259
Біграмма 'рь': 0.0008356125758902867
Біграмма 'рю': 0.00036449452152492186
Біграмма 'ря': 0.001311074551963966
Біграмма 'са': 0.00303166245042993
Біграмма 'сб': 7.62160808822426e-05
Біграмма 'св': 0.004025630717686949
Біграмма 'сг': 1.7770588806740504e-05
Біграмма 'сд': 0.0008174470851100631
Біграмма 'се': 0.007259088076566754
Біграмма 'сё': 3.3566667746065395e-05
Біграмма 'сж': 3.0012549984717294e-05
Біграмма 'сз': 7.5031374961793235e-06
Біграмма 'си': 0.002748517735442531
Біграмма 'ск': 0.0054942711570706805
Біграмма 'сл': 0.005082783300701267
Біграмма 'см': 0.0007704537502655716
Біграмма 'сн': 0.0009765925804237614
Біграмма 'со': 0.0037322185513889885
Біграмма 'сп': 0.005190986441435642
Біграмма 'ср': 0.0004675639366040168
Біграмма 'сс': 0.0008632557140341053
Біграмма 'ст': 0.014505539289982048
Біграмма 'су': 0.0015519647557886707
Біграмма 'сф': 4.541372695055906e-05
Біграмма 'сх': 0.0002882784406426793
Біграмма 'сц': 9.438157166246623e-05
Біграмма 'сч': 0.00022035530120358224
Біграмма 'сш': 7.384666904134386e-05
Біграмма 'сщ': 3.9490197348312227e-07
Біграмма 'съ': 4.3044315109660326e-05
Біграмма 'сы': 0.002457080079011987
Біграмма 'сь': 0.0026786200861360185
Біграмма 'сю': 0.00012873804335549786
Біграмма 'ся': 0.0051499166361933975
Біграмма 'та': 0.00641873667699467
Біграмма 'тб': 2.2904314462021092e-05
Біграмма 'тв': 0.006227999023802322
Біграмма 'тг': 8.68784341662869e-06
Біграмма 'тд': 0.00026497922420717505
Біграмма 'те': 0.007467201416592359
Біграмма 'тж': 3.9490197348312227e-07
Біграмма 'тз': 7.898039469662445e-07
Біграмма 'ти': 0.004863217803444651
Біграмма 'тк': 0.00043636668069885014
Біграмма 'тл': 0.00014413922032133965
Біграмма 'тм': 5.765568812853585e-05
Біграмма 'тн': 0.0007376768864664724
Біграмма 'то': 0.014831728320079106
Біграмма 'тп': 0.00022469922291189657
Біграмма 'тр': 0.0030924773543463306
Біграмма 'тс': 0.0019413381016430292
Біграмма 'тт': 0.0001433494163743734
Біграмма 'ту': 0.001233673765161274
Біграмма 'тф': 1.4216471045392402e-05
Біграмма 'тх': 2.2904314462021092e-05
Біграмма 'тц': 0.0005382513898574957
Біграмма 'тч': 0.00014098000453347467
Біграмма 'тш': 1.3031765124943035e-05
Біграмма 'тщ': 3.0407451958200417e-05
Біграмма 'тъ': 1.579607893932489e-06
Біграмма 'ты': 0.0031236746102514972
Біграмма 'ть': 0.00741546925806607
Біграмма 'тю': 2.3694118408987336e-06
Біграмма 'тя': 0.0007850651232844472
Біграмма 'уа': 1.579607893932489e-05
Біграмма 'уб': 0.0007980968884093901
Біграмма 'ув': 0.000619996098368502
Біграмма 'уг': 0.00108519062313162
Біграмма 'уд': 0.004638123678559271
Біграмма 'уе': 0.00026813843999504004
Біграмма 'уж': 0.0013979529861302528
Біграмма 'уз': 0.00033566667746065396
Біграмма 'уи': 0.00013505647493122782
Біграмма 'уй': 0.00018086510385527
